Concept,Category
apple,fooddrink
table,tools
car,vehicles
bean,plants
pencil,toys
shoe,clothes
lemon,fooddrink
strawberry,fooddrink
forest,locations
mushroom,plants
child,people
helicopter,vehicles
princess,people
playground,locations
duck,animals
sword,toys
potato,plants
dog,animals
hand,bodyparts
book,toys
foot,bodyparts
horse,animals
trousers,clothes
livingroom,locations
sweater,clothes
broom,tools
eye,bodyparts
carpet,tools
firefighter,people
train,vehicles
