Concept(EN),ConceptClass,Concept(IT),Prod.Frequency,Rank,Feature,RelationType,FreqWaCKy,logFreqWaCKy,No.Letters,No.Syllables,No.Features,No.DistinguishingFeatures,Percent.DistinguishingFeatures,MeanDistinctivenessAcrossFeatures,MeanCueValidity,No.IntercorrelatedFeatures,Percent.IntercorrelatedFeatures,IntercorrelationalDensity,(Non)Distinguishing,Distinctiveness,Q1,Q2,T,S_obs,U,S_hat,sd_S_hat,CI_L,CI_U,C_T,Nationality
broom,implement,scopa,19,2,has_bristles,ece,4017,8.29829063435928,5,2,5,3,0.6,0.6,3.086945,3,1.0,1.00404911965714,D,0.5,18,3,34,32,123,84.4117647058823,39.7305805537985,45.9916125842099,228.331413770337,0.855121951219512,IT
broom,implement,scopa,17,3,used_for_floor_cleaning,sf,4017,8.29829063435928,5,2,5,3,0.6,0.6,3.086945,3,1.0,1.00404911965714,D,1.0,18,3,34,32,123,84.4117647058823,39.7305805537985,45.9916125842099,228.331413770337,0.855121951219512,IT
broom,implement,scopa,12,4,used_for_cleaning,sf,4017,8.29829063435928,5,2,5,3,0.6,0.6,3.086945,3,1.0,1.00404911965714,D,1.0,18,3,34,32,123,84.4117647058823,39.7305805537985,45.9916125842099,228.331413770337,0.855121951219512,IT
broom,implement,scopa,9,5,a_tool,ch,4017,8.29829063435928,5,2,5,3,0.6,0.6,3.086945,3,1.0,1.00404911965714,ND,0.25,18,3,34,32,123,84.4117647058823,39.7305805537985,45.9916125842099,228.331413770337,0.855121951219512,IT
dog,mammal,cane,31,1,an_animal,ch,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,0.1,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,23,2,has_4_legs,ece,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,ND,0.166667,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,16,3,is_domestic,sr,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,0.5,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,16,3,is_man's_best_friend,sr,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,1.0,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,13,4,beh_-_barks,eb,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,1.0,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,11,5,a_mammal,ch,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,ND,0.2,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,9,6,has_a_fur,ece,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,ND,0.25,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,8,7,is_faithful,sr,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,1.0,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,7,8,different_kinds,eq,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,0.5,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
